what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.bugzilla.ui",1438847833783
started,bundle,org.eclipse.mylyn.commons.identity,0.8.0.v20110608-1400,"org.eclipse.mylyn.commons.identity",1438847833830
started,bundle,org.eclipse.mylyn.commons.net,3.6.0.v20110608-1400,"org.eclipse.mylyn.commons.net",1438847833830
started,bundle,org.eclipse.mylyn.commons.ui,3.6.1.v20110720-0100,"org.eclipse.mylyn.commons.ui",1438847833840
started,bundle,org.eclipse.mylyn.context.core,3.6.1.v20110720-0100,"org.eclipse.mylyn.context.core",1438847833892
started,bundle,org.eclipse.mylyn.context.ui,3.6.1.v20120112-0100,"org.eclipse.mylyn.context.ui",1438847833940
started,bundle,org.eclipse.mylyn.monitor.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.monitor.ui",1438847833950
started,bundle,org.eclipse.mylyn.tasks.ui,3.6.5.v20120215-0100,"org.eclipse.mylyn.tasks.ui",1438847833989
started,bundle,org.eclipse.mylyn.team.ui,3.6.1.v20110825-0100,"org.eclipse.mylyn.team.ui",1438847834009
started,bundle,org.eclipse.search,3.7.0.v20110928-1504,"org.eclipse.search",1438847834045
started,bundle,org.eclipse.team.core,3.6.0.I20110525-0800,"org.eclipse.team.core",1438847834095
started,bundle,org.eclipse.team.ui,3.6.101.R37x_v20111109-0800,"org.eclipse.team.ui",1438847834122
started,bundle,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui",1438847834125
started,bundle,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.editors",1438847834141
started,bundle,org.eclipse.ui.forms,3.5.101.v20111011-1919,"org.eclipse.ui.forms",1438847834162
started,bundle,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.ide",1438847834197
started,bundle,org.eclipse.ui.net,1.2.100.v20111208-1155,"org.eclipse.ui.net",1438847834199
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1438847834211
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1438847834225
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1438847834279
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1438847834325
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1438847834387
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1438847834389
started,bundle,org.eclipse.wb.discovery.core,1.3.0.r37x201202052340,"org.eclipse.wb.discovery.core",1438847834436
os,sysinfo,,,"win32",1438847834461
arch,sysinfo,,,"x86",1438847834462
ws,sysinfo,,,"win32",1438847834462
locale,sysinfo,,,"zh_CN",1438847834462
processors,sysinfo,,,"4",1438847834462
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1438847834462
java.runtime.version,sysinfo,,,"1.7.0_13-b20",1438847834462
java.specification.name,sysinfo,,,"Java Platform API Specification",1438847834462
java.specification.vendor,sysinfo,,,"Oracle Corporation",1438847834462
java.specification.version,sysinfo,,,"1.7",1438847834462
java.vendor,sysinfo,,,"Oracle Corporation",1438847834462
java.version,sysinfo,,,"1.7.0_13",1438847834462
java.vm.info,sysinfo,,,"mixed mode",1438847834462
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1438847834462
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1438847834462
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1438847834462
java.vm.specification.version,sysinfo,,,"1.7",1438847834462
java.vm.vendor,sysinfo,,,"Oracle Corporation",1438847834462
java.vm.version,sysinfo,,,"23.7-b01",1438847834462
started,bundle,org.eclipse.wb.discovery.ui,1.3.0.r37x201202052340,"org.eclipse.wb.discovery.ui",1438847834463
started,bundle,org.eclipse.m2e.usagedata,1.0.200.20111228-1245,"org.eclipse.m2e.usagedata",1438847834489
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1438847834767
