what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wb.discovery.core,1.3.0.r37x201202052340,"org.eclipse.wb.discovery.core",1441107601379
os,sysinfo,,,"win32",1441107601410
arch,sysinfo,,,"x86",1441107601410
ws,sysinfo,,,"win32",1441107601410
locale,sysinfo,,,"zh_CN",1441107601410
processors,sysinfo,,,"4",1441107601410
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1441107601410
java.runtime.version,sysinfo,,,"1.7.0_13-b20",1441107601410
java.specification.name,sysinfo,,,"Java Platform API Specification",1441107601410
java.specification.vendor,sysinfo,,,"Oracle Corporation",1441107601410
java.specification.version,sysinfo,,,"1.7",1441107601410
java.vendor,sysinfo,,,"Oracle Corporation",1441107601410
java.version,sysinfo,,,"1.7.0_13",1441107601410
java.vm.info,sysinfo,,,"mixed mode",1441107601410
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1441107601410
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1441107601410
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1441107601410
java.vm.specification.version,sysinfo,,,"1.7",1441107601410
java.vm.vendor,sysinfo,,,"Oracle Corporation",1441107601410
java.vm.version,sysinfo,,,"23.7-b01",1441107601410
started,bundle,org.eclipse.wb.discovery.ui,1.3.0.r37x201202052340,"org.eclipse.wb.discovery.ui",1441107601426
started,bundle,org.eclipse.m2e.usagedata,1.0.200.20111228-1245,"org.eclipse.m2e.usagedata",1441107601472
started,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201106061540,"org.eclipse.epp.usagedata.ui",1441107602533
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1441107604046
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1441107630925
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1441107638928
started,bundle,org.eclipse.ltk.core.refactoring,3.5.201.r372_v20111101-0700,"org.eclipse.ltk.core.refactoring",1441107644076
started,bundle,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring",1441107644138
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1441107653623
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1441107659270
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.openLocalFile",1441107659332
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1441107681266
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1441107782807
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1441107785006
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1441107787143
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1441107787284
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1441107788079
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1441107788111
stopped,bundle,org.eclipse.m2e.logback.configuration,1.0.200.20111228-1245,"org.eclipse.m2e.logback.configuration",1441107788797
stopped,bundle,org.eclipse.m2e.discovery,1.0.200.20111228-1245,"org.eclipse.m2e.discovery",1441107788828
stopped,bundle,org.eclipse.m2e.refactoring,1.0.200.20111228-1245,"org.eclipse.m2e.refactoring",1441107788844
stopped,bundle,org.eclipse.m2e.editor,1.0.200.20111228-1245,"org.eclipse.m2e.editor",1441107788875
stopped,bundle,org.eclipse.m2e.editor.xml,1.0.200.20111228-1245,"org.eclipse.m2e.editor.xml",1441107788891
activated,perspective,org.eclipse.jdt.ui,,"org.eclipse.jdt.ui.JavaPerspective",1441887359053
